Timestamp,Connected,Signal,Latency,Download,Upload
2026-02-01T09:25:06.589Z,true,90,14,0,5
2026-02-01T09:25:14.591Z,true,90,14,0,5
2026-02-01T09:25:22.609Z,true,90,15,0,5
2026-02-01T09:25:30.676Z,true,90,15,0,5
2026-02-01T09:25:38.593Z,true,100,14,0,5
2026-02-01T09:25:46.586Z,true,95,15,0,5
2026-02-01T09:25:51.139Z,true,95,15,0,5
2026-02-01T09:25:54.629Z,true,95,14,0,5
2026-02-01T09:26:02.575Z,true,95,14,0,5
2026-02-01T09:26:10.593Z,true,95,16,0,5
2026-02-01T09:26:18.616Z,true,95,16,0,5
2026-02-01T09:26:26.610Z,true,95,25,0,5
2026-02-01T09:26:34.617Z,true,100,29,0,5
2026-02-01T09:26:42.616Z,true,80,15,0,5
2026-02-01T09:26:50.638Z,true,80,14,0,5
2026-02-01T09:26:51.115Z,true,80,14,0,5
2026-02-01T09:26:58.601Z,true,100,29,0,5
2026-02-01T09:27:06.685Z,true,95,35,0,5
2026-02-01T09:27:14.602Z,true,100,16,0,5
2026-02-01T09:27:22.618Z,true,95,15,0,5
2026-02-01T09:27:30.619Z,true,95,15,0,5
2026-02-01T09:27:38.641Z,true,95,38,0,5
2026-02-01T09:27:46.617Z,true,95,28,0,5
2026-02-01T09:27:51.161Z,true,95,14,0,5
2026-02-01T09:27:54.588Z,true,95,17,0,5
2026-02-01T09:28:02.605Z,true,95,15,0,5
2026-02-01T09:28:10.575Z,true,95,18,0,5
2026-02-01T09:28:18.595Z,true,100,15,0,5
2026-02-01T09:28:26.648Z,true,100,14,0,5
2026-02-01T09:28:34.617Z,true,75,16,0,5
2026-02-01T09:28:42.594Z,true,100,14,0,5
2026-02-01T09:28:50.592Z,true,90,14,0,5
2026-02-01T09:28:51.162Z,true,90,14,0,5
2026-02-01T09:28:58.607Z,true,90,18,0,5
2026-02-01T09:29:06.594Z,true,80,13,0,5
2026-02-01T09:29:14.610Z,true,100,16,0,5
2026-02-01T09:29:22.688Z,true,80,43,0,5
2026-02-01T09:29:30.604Z,true,85,14,0,5
2026-02-01T09:29:38.618Z,true,60,14,0,5
2026-02-01T09:29:46.598Z,true,70,15,0,5
2026-02-01T09:29:51.127Z,true,80,18,0,5
2026-02-01T09:29:54.603Z,true,80,17,0,5
2026-02-01T09:30:02.645Z,true,95,14,0,5
2026-02-01T09:30:10.608Z,true,95,14,0,5
2026-02-01T09:30:18.651Z,true,95,14,0,5
2026-02-01T09:30:26.612Z,true,95,16,0,5
2026-02-01T09:30:34.619Z,true,95,17,0,5
2026-02-01T09:30:42.646Z,true,95,35,0,5
2026-02-01T09:30:50.665Z,true,85,17,0,5
2026-02-01T09:30:51.103Z,true,85,23,0,5
2026-02-01T09:30:58.607Z,true,85,14,0,5
2026-02-01T09:31:06.608Z,true,100,27,0,5
2026-02-01T09:31:14.646Z,true,85,26,0,5
2026-02-01T09:31:22.608Z,true,75,14,0,5
2026-02-01T09:31:30.632Z,true,85,28,0,5
2026-02-01T09:31:38.662Z,true,85,27,0,5
2026-02-01T09:31:46.613Z,true,100,25,0,5
2026-02-01T09:31:51.133Z,true,90,15,0,5
2026-02-01T09:31:55.100Z,true,90,14,0,5
2026-02-01T09:32:02.597Z,true,90,15,0,5
2026-02-01T09:32:10.593Z,true,75,14,0,5
2026-02-01T09:32:18.627Z,true,100,14,0,5
2026-02-01T09:32:26.640Z,true,80,14,0,5
2026-02-01T09:32:34.611Z,true,100,22,0,5
2026-02-01T09:32:42.617Z,true,95,16,0,5
2026-02-01T09:32:50.628Z,true,100,15,0,5
2026-02-01T09:32:51.114Z,true,100,14,0,5
2026-02-01T09:32:58.608Z,true,100,14,0,5
2026-02-01T09:33:06.643Z,true,100,14,0,5
